continent,year,CO2_emission
Asia,2011,17746631804
Asia,2012,18456299828
Asia,2013,18714335123
Asia,2014,19018801891
Asia,2015,19135910319
Asia,2016,19218166352
Asia,2017,19653512867
Asia,2018,20254370026
Asia,2019,20608592701
Asia,2020,20317058379
Africa,2011,1258708905
Africa,2012,1253144211
Africa,2013,1260316387
Africa,2014,1363499747
Africa,2015,1322735077
Africa,2016,1356719492
Africa,2017,1384372117
Africa,2018,1385644894
Africa,2019,1408478929
Africa,2020,1326043539
Europe,2011,6023668149
Europe,2012,5972231655
Europe,2013,5815574828
Europe,2014,5589757324
Europe,2015,5594384221
Europe,2016,5590252902
Europe,2017,5620306625
Europe,2018,5593057381
Europe,2019,5430238970
Europe,2020,4946034489
North America,2011,6771607912
North America,2012,6580282771
North America,2013,6714923529
North America,2014,6753942686
North America,2015,6612704117
North America,2016,6471359556
North America,2017,6412981891
North America,2018,6588629908
North America,2019,6460726238
North America,2020,5775158655
South America,2011,1103963494
South America,2012,1159699662
South America,2013,1218740221
South America,2014,1230511065
South America,2015,1204961439
South America,2016,1164897792
South America,2017,1156733992
South America,2018,1091450086
South America,2019,1065509648
Oceania,2020,994160327
Oceania,2011,451765877
Oceania,2012,450529677
Oceania,2013,440882723
Oceania,2014,449080653
Oceania,2015,453845158
Oceania,2016,465567113
Oceania,2017,465857483
Oceania,2018,467556039
Oceania,2019,471015609
Oceania,2020,444397224
