year,region,gdp_per_capita
2011,East Asia & Pacific,8886.951
2012,East Asia & Pacific,9432.513
2013,East Asia & Pacific,9463.4869
2014,East Asia & Pacific,9686.883
2015,East Asia & Pacific,9579.474
2016,East Asia & Pacific,9845.914
2017,East Asia & Pacific,10442.859
2018,East Asia & Pacific,11297.601
2019,East Asia & Pacific,11478.033
2020,East Asia & Pacific,11477.792
2011,Europe & Central Asia,26171.657
2012,Europe & Central Asia,25133.279
2013,Europe & Central Asia,26143.5
2014,Europe & Central Asia,26368.361
2015,Europe & Central Asia,22619.698
2016,Europe & Central Asia,22446.1687
2017,Europe & Central Asia,23670.079
2018,Europe & Central Asia,25290.331
2019,Europe & Central Asia,24906.436
2020,Europe & Central Asia,23955.305
2011,South Asia,1368.945
2012,South Asia,1366.059
2013,South Asia,1383.316
2014,South Asia,1496.014
2015,South Asia,1543.0481
2016,South Asia,1652.251
2017,South Asia,1867.443
2018,South Asia,1894.008
2019,South Asia,1959.525
2020,South Asia,1823.712
2011,Sub-Saharan Africa,1807.299
2012,Sub-Saharan Africa,1828.305
2013,Sub-Saharan Africa,1892.847
2014,Sub-Saharan Africa,1909.033
2015,Sub-Saharan Africa,1688.327
2016,Sub-Saharan Africa,1529.439
2017,Sub-Saharan Africa,1589.37
2018,Sub-Saharan Africa,1627.11
2019,Sub-Saharan Africa,1630.127
2020,Sub-Saharan Africa,1501.152
2011,Africa Eastern and Southern,1770.736
2012,Africa Eastern and Southern,1736.166
2013,Africa Eastern and Southern,1713.899
2014,Africa Eastern and Southern,1703.596
2015,Africa Eastern and Southern,1549.037
2016,Africa Eastern and Southern,1431.778
2017,Africa Eastern and Southern,1573.063
2018,Africa Eastern and Southern,1574.978
2019,Africa Eastern and Southern,1530.059
2020,Africa Eastern and Southern,1359.618
2011,Africa Western and Central,1862.308
2012,Africa Western and Central,1965.118
2013,Africa Western and Central,2157.481
2014,Africa Western and Central,2212.853
2015,Africa Western and Central,1894.31
2016,Africa Western and Central,1673.835
2017,Africa Western and Central,1613.473
2018,Africa Western and Central,1704.139
2019,Africa Western and Central,1777.918
2020,Africa Western and Central,1710.0733
2011,Middle East & North Africa,8345.335
2012,Middle East & North Africa,8850.064
2013,Middle East & North Africa,8558.345
2014,Middle East & North Africa,8433.722
2015,Middle East & North Africa,7269.495
2016,Middle East & North Africa,7161.033
2017,Middle East & North Africa,7309.142
2018,Middle East & North Africa,7502.176
2019,Middle East & North Africa,7458.022
2020,Middle East & North Africa,6534.395
2011,Central Europe and the Baltics,13910.481
2012,Central Europe and the Baltics,13020.833
2013,Central Europe and the Baltics,13717.712
2014,Central Europe and the Baltics,14161.387
2015,Central Europe and the Baltics,12521.791
2016,Central Europe and the Baltics,12829.896
2017,Central Europe and the Baltics,14248.748
2018,Central Europe and the Baltics,16045.953
2019,Central Europe and the Baltics,16346.554
2020,Central Europe and the Baltics,16168.196
2011,Latin America & Caribbean,10203.753
2012,Latin America & Caribbean,10198.047
2013,Latin America & Caribbean,10340.076
2014,Latin America & Caribbean,10433.364
2015,Latin America & Caribbean,8630.855
2016,Latin America & Caribbean,8352.056
2017,Latin America & Caribbean,9188.21
2018,Latin America & Caribbean,8905.581
2019,Latin America & Caribbean,8705.117
2020,Latin America & Caribbean,7244.659
2011,North America,50123.853
2012,North America,51717.787
2013,North America,53068.032
2014,North America,54648.019
2015,North America,55542.966
2016,North America,56451.517
2017,North America,58605.344
2018,North America,61391.269
2019,North America,63342.982
2020,North America,61502.095
2011,European Union,35716.16
2012,European Union,33160.516
2013,European Union,34569.647
2014,European Union,35245.859
2015,European Union,30474.497
2016,European Union,31168.436
2017,European Union,33023.79
2018,European Union,35737.301
2019,European Union,35083.807
2020,European Union,34148.919
